Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
2006-02-07,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,South Africa,Hobart
2006-02-10,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Australia,Adelaide
2006-02-10,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,Australia,Adelaide
2006-02-12,KMDN Kulasekara,NA,FALSE,NA,NA,NA,NA,NA,2,Sub,Australia,Sydney
2006-02-14,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Australia,Brisbane
2006-02-14,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,Australia,Brisbane
2006-02-20,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Bogra
2006-02-20,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Bogra
2006-02-20,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Bogra
2006-02-20,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Bogra
2006-02-25,KTGD Prasad,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Bangladesh,Chattogram
2006-02-25,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Bangladesh,Chattogram
2006-03-17,KC Sangakkara,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,DPMD Jayawardene,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,KS Lokuarachchi,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,RP Arnold,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,KTGD Prasad,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,MS Atapattu,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-03-17,WU Tharanga,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Colombo (RPS)
2006-06-20,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,England,The Oval
2006-06-24,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Chester-le-Street
2006-06-24,RP Arnold,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Chester-le-Street
2006-06-24,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Chester-le-Street
2006-06-24,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Chester-le-Street
2006-06-24,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Chester-le-Street
2006-06-24,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Chester-le-Street
2006-06-24,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Chester-le-Street
2006-06-28,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,England,Manchester
2006-06-28,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,England,Manchester
2006-07-01,CK Kapugedera,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
2006-07-01,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
2006-07-01,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
2006-07-01,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
2006-07-01,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
2006-07-01,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
2006-07-01,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
2006-07-06,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Netherlands,Amstelveen
